FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
4/20/2026 9:14:51 PM,4/21/2026 12:01:51 AM,2:47:00,0:01:00,223,168,57,Motor 17
Max Time,Max,Average,Min,Min Time,Scaling,
4/20/2026 9:15:43 PM,10.143 V DC,9.873 V DC,8.651 V DC,4/20/2026 9:30:46 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
81,9.901 V DC,4/20/2026 21:52:50.6,0:01:00.0,4/20/2026 21:52:56.5,9.967 V DC,9.947 V DC,4/20/2026 21:53:46.8,9.863 V DC,Interval,4/20/2026 21:53:50.5
82,9.954 V DC,4/20/2026 21:53:50.5,0:00:23.0,4/20/2026 21:53:52.6,9.964 V DC,9.944 V DC,4/20/2026 21:53:54.5,9.867 V DC,Stable,4/20/2026 21:54:13.6
83,9.857 V DC,4/20/2026 21:54:13.6,0:00:37.0,4/20/2026 21:54:18.3,9.963 V DC,9.944 V DC,4/20/2026 21:54:13.6,9.857 V DC,Interval,4/20/2026 21:54:50.6
84,9.960 V DC,4/20/2026 21:54:50.6,0:01:00.0,4/20/2026 21:54:52.1,9.961 V DC,9.943 V DC,4/20/2026 21:55:10.2,9.856 V DC,Interval,4/20/2026 21:55:50.5
85,9.957 V DC,4/20/2026 21:55:50.5,0:00:31.5,4/20/2026 21:56:19.6,9.960 V DC,9.943 V DC,4/20/2026 21:55:54.6,9.864 V DC,Stable,4/20/2026 21:56:22.0
86,9.849 V DC,4/20/2026 21:56:22.0,0:00:28.5,4/20/2026 21:56:24.4,9.959 V DC,9.939 V DC,4/20/2026 21:56:33.7,9.847 V DC,Interval,4/20/2026 21:56:50.5
87,9.945 V DC,4/20/2026 21:56:50.5,0:01:00.1,4/20/2026 21:56:59.4,9.958 V DC,9.940 V DC,4/20/2026 21:57:47.3,9.861 V DC,Interval,4/20/2026 21:57:50.6
88,9.946 V DC,4/20/2026 21:57:50.6,0:01:00.0,4/20/2026 21:58:03.2,9.957 V DC,9.937 V DC,4/20/2026 21:58:34.7,9.852 V DC,Interval,4/20/2026 21:58:50.5
89,9.906 V DC,4/20/2026 21:58:50.5,0:01:00.1,4/20/2026 21:58:55.4,9.955 V DC,9.935 V DC,4/20/2026 21:58:58.7,9.857 V DC,Interval,4/20/2026 21:59:50.6
90,9.938 V DC,4/20/2026 21:59:50.6,0:01:00.0,4/20/2026 22:00:14.1,9.952 V DC,9.932 V DC,4/20/2026 22:00:30.5,9.844 V DC,Interval,4/20/2026 22:00:50.5
91,9.852 V DC,4/20/2026 22:00:50.5,0:01:00.0,4/20/2026 22:01:00.9,9.949 V DC,9.929 V DC,4/20/2026 22:01:20.3,9.850 V DC,Interval,4/20/2026 22:01:50.5
92,9.943 V DC,4/20/2026 22:01:50.5,0:01:00.5,4/20/2026 22:01:53.5,9.945 V DC,9.925 V DC,4/20/2026 22:02:49.3,9.837 V DC,Interval,4/20/2026 22:02:51.0
