FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/3/2025 2:07:06 PM,12/3/2025 8:38:57 PM,6:31:50,0:00:20,6207,1176,5417,Motor 4
Max Time,Max,Average,Min,Min Time,Scaling,
12/3/2025 2:07:06 PM,8.519 V DC,8.081 V DC,-0.0075 V DC,12/3/2025 8:38:55 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
108,8.417 V DC,12/3/2025 14:10:25.2,0:00:00.3,12/3/2025 14:10:25.4,8.450 V DC,8.436 V DC,12/3/2025 14:10:25.2,8.417 V DC,Interval,12/3/2025 14:10:25.5
109,8.350 V DC,12/3/2025 14:10:25.5,0:00:03.0,12/3/2025 14:10:26.5,8.458 V DC,8.397 V DC,12/3/2025 14:10:28.5,8.155 V DC,Unstable,12/3/2025 14:10:28.6
110,8.406 V DC,12/3/2025 14:10:28.6,0:00:01.2,12/3/2025 14:10:29.7,8.458 V DC,8.426 V DC,12/3/2025 14:10:28.9,8.344 V DC,Stable,12/3/2025 14:10:29.8
111,8.234 V DC,12/3/2025 14:10:29.8,0:00:00.1,12/3/2025 14:10:29.8,8.234 V DC,8.234 V DC,12/3/2025 14:10:29.8,8.234 V DC,Unstable,12/3/2025 14:10:29.9
112,8.407 V DC,12/3/2025 14:10:29.9,0:00:01.5,12/3/2025 14:10:30.8,8.465 V DC,8.445 V DC,12/3/2025 14:10:31.0,8.371 V DC,Stable,12/3/2025 14:10:31.4
113,8.306 V DC,12/3/2025 14:10:31.4,0:00:01.4,12/3/2025 14:10:32.3,8.453 V DC,8.384 V DC,12/3/2025 14:10:31.7,8.201 V DC,Unstable,12/3/2025 14:10:32.8
114,8.437 V DC,12/3/2025 14:10:32.8,0:00:01.7,12/3/2025 14:10:33.5,8.461 V DC,8.437 V DC,12/3/2025 14:10:34.0,8.371 V DC,Stable,12/3/2025 14:10:34.5
115,8.334 V DC,12/3/2025 14:10:34.5,0:00:01.5,12/3/2025 14:10:35.8,8.451 V DC,8.364 V DC,12/3/2025 14:10:34.8,8.206 V DC,Unstable,12/3/2025 14:10:36.0
116,8.420 V DC,12/3/2025 14:10:36.0,0:00:01.4,12/3/2025 14:10:37.3,8.450 V DC,8.414 V DC,12/3/2025 14:10:36.7,8.367 V DC,Stable,12/3/2025 14:10:37.4
117,8.292 V DC,12/3/2025 14:10:37.4,0:00:00.4,12/3/2025 14:10:37.6,8.445 V DC,8.370 V DC,12/3/2025 14:10:37.4,8.292 V DC,Unstable,12/3/2025 14:10:37.8
118,8.434 V DC,12/3/2025 14:10:37.8,0:00:03.3,12/3/2025 14:10:39.1,8.454 V DC,8.418 V DC,12/3/2025 14:10:40.1,8.335 V DC,Stable,12/3/2025 14:10:41.1
